Gene,pval,ecDNA dominace
ESR1,0.38683273550657293,pos
PPP2R2A,0.38945421554525916,pos
CCDC127,0.39208647437795374,pos
CRCP,0.3947294962397798,neg
LPXN,0.3947294962397798,neg
SEC61G,0.397383264811054,neg
HKDC1,0.4000477632161409,neg
ALDH2,0.4027229740223507,neg
VWA3A,0.4027229740223507,pos
C1orf210,0.4108126981431962,pos
SIT1,0.4108126981431962,pos
CFLAR,0.4135305730499963,neg
REEP4,0.4135305730499963,neg
NADK2,0.41899815260785966,pos
PGR,0.41899815260785966,neg
CDCA5,0.4217478151044395,pos
IKZF2,0.42450803036999485,pos
CFAP126,0.42727877591654784,neg
LCN2,0.43006002869065285,pos
SLFN12L,0.4328517650728205,neg
SNRPA1,0.4328517650728205,pos
XPO7,0.4328517650728205,pos
EYA2,0.4356539608769917,neg
NDUFS6,0.4356539608769917,pos
KIF2C,0.4384665913500617,neg
ALCAM,0.4412896311714519,pos
C5orf34,0.4412896311714519,pos
DTHD1,0.44412305445273437,neg
GLTP,0.44412305445273437,neg
HOXC4,0.4498209450001085,pos
CFTR,0.452685357647412,neg
RPS6KA1,0.455560044516633,pos
TNFAIP6,0.455560044516633,pos
ADAM28,0.458444976876215,pos
ARFGAP1,0.458444976876215,neg
EIF3L,0.458444976876215,neg
SPN,0.458444976876215,neg
MITD1,0.4613401254255568,neg
ARMC4,0.4613401254255568,pos
CD5,0.46424546029499236,pos
OVOL2,0.46424546029499236,pos
CD3D,0.46716095104582367,neg
EZH1,0.46716095104582367,neg
SNTN,0.46716095104582367,pos
TMEM184A,0.46716095104582367,neg
UBE2C,0.46716095104582367,pos
CD27,0.47008656667040316,neg
