DepMap_ID,Match_ID
ACH-000929,NCIH3255_LUNG
ACH-000311,NCIH3255_LUNG
ACH-000785,NCIH3255_LUNG
ACH-001363,NCIH3255_LUNG
ACH-001138,NCIH3255_LUNG
ACH-000481,NCIH3255_LUNG
ACH-000525,NCIH3255_LUNG
ACH-000924,NCIH3255_LUNG
ACH-000399,NCIH3255_LUNG
ACH-000610,NCIH3255_LUNG
ACH-000447,NCIH3255_LUNG
ACH-000367,NCIH3255_LUNG
ACH-000912,NCIH3255_LUNG
ACH-000718,NCIH3255_LUNG
ACH-000900,NCIH3255_LUNG
ACH-000951,NCIH3255_LUNG
ACH-000875,NCIH3255_LUNG
ACH-000121,NCIH3255_LUNG
ACH-000186,NCIH3255_LUNG
ACH-000092,NCIH3255_LUNG
ACH-000648,NCIH3255_LUNG
ACH-000700,NCIH3255_LUNG
ACH-000251,NCIH3255_LUNG
ACH-001075,NCIH3255_LUNG
ACH-000337,NCIH3255_LUNG
ACH-000837,NCIH3255_LUNG
ACH-000109,NCIH3255_LUNG
ACH-001364,NCIH3255_LUNG
ACH-000860,NCIH3255_LUNG
ACH-000638,NCIH3255_LUNG
ACH-000800,NCIH3255_LUNG
ACH-000463,NCIH3255_LUNG
ACH-000360,NCIH3255_LUNG
ACH-000871,NCIH3255_LUNG
ACH-000395,NCIH3255_LUNG
ACH-000343,NCIH3255_LUNG
ACH-000816,NCIH3255_LUNG
ACH-000767,NCIH3255_LUNG
ACH-000628,NCIH3255_LUNG
ACH-001599,NCIH3255_LUNG
ACH-000378,NCIH3255_LUNG
ACH-000945,NCIH3255_LUNG
ACH-000177,NCIH3255_LUNG
ACH-000853,NCIH3255_LUNG
ACH-000089,NCIH3255_LUNG
ACH-000358,NCIH3255_LUNG
ACH-000491,NCIH3255_LUNG
ACH-000775,NCIH3255_LUNG
ACH-000403,NCIH3255_LUNG
ACH-000789,NCIH3255_LUNG
ACH-000355,NCIH3255_LUNG
ACH-001140,NCIH3255_LUNG
ACH-000416,NCIH3255_LUNG
ACH-000292,NCIH3255_LUNG
